system:index,Subbasin,aet,date,pdsi,pet,pr,ro,soil,swe,tmmn,tmmx,.geo
198306_0000d4da10d8dcbac1b0,12,791.4824608250135,1.9830601E7,147.25649800212278,792.1234421061125,142.89400491691174,60.74477860214765,1164.293910657328,0.2115012745916263,93.56869868634038,178.69765432897765,
198306_0000daa2e88e222a53c3,9,795.3424139346985,1.9830601E7,165.89172836577762,795.3884127926086,136.19555946422582,50.493688584816,1356.6921373985226,0.0,86.96703029218116,175.43243418560732,
198306_00008c159663543e8645,8,775.004582978819,1.9830601E7,71.8813984408267,776.0452992143992,143.6239783097153,62.857003908589206,1144.5496137231266,0.3141901346200131,71.0034234506355,161.87848395308322,
198306_0000de5013cc29300392,6,780.1725341737013,1.9830601E7,94.3985615219155,782.0939244053361,141.67882208629317,69.15878091235724,1022.5539842051315,0.3889712474817805,52.811862384890944,150.95982598653723,
198306_0000168c334242d20765,5,764.7115111395793,1.9830601E7,134.22169440616682,765.4952626474618,138.6495300224207,65.06638138356267,1242.6465148146729,0.059051393353523586,48.68497152130798,145.67023148516816,
198306_0000cb0aabacd678f3cf,2,786.8234978923831,1.9830601E7,80.8486197917407,787.8369125935692,130.51013295612216,53.46944900875161,1035.1695429972735,0.00505622086190155,31.173020105196425,135.3449983905599,
198306_0000181e9ee1021c33fd,1,741.5647372577455,1.9830601E7,57.37647859106032,746.6059355849137,123.88530968794093,71.81571987604602,1164.4148476444648,3.207803904018529,22.39415719953688,123.0563443212779,
198306_0000cafaf5ad395dbed2,3,760.7488319411324,1.9830601E7,73.59923300471529,764.8490752817537,141.74980231090584,81.90543493073432,931.3524697698673,0.5305070299166018,24.29183698972739,127.30905513065336,
198306_0000f539b753c50b4245,4,707.8391150885615,1.9830601E7,92.69315343214076,717.7301166678596,158.4781577839979,137.32511207292788,978.7617357773389,3.495681894626854,18.41344045674042,119.11363565599643,
198306_000093627540d08c2e25,7,682.7901402565806,1.9830601E7,42.779005495303096,690.7910665102889,155.2106813298608,135.59891136808994,1081.0475342561908,3.288251723961406,34.022711194522635,127.71279684977051,
198306_0000976156db9c725e35,10,648.8025701403895,1.9830601E7,60.24713684859478,660.7788941392766,160.32570906836833,154.1415191949639,1121.93331378109,9.557868892609045,23.691728525282752,117.66932718656224,
198307_000071ae51516e393968,11,743.5081039609646,1.9830701E7,92.83536958094683,746.114758048882,133.88103035585212,76.59371021941259,1209.6254395144997,1.5552592032779045,65.89023051436592,151.9961115973001,
198307_0000266fb817570ef2ea,14,869.0608021682577,1.9830701E7,127.81052099936505,869.0608021682577,145.12076923680365,50.70865902015727,1140.2614879198657,0.0,138.85334441539032,220.67857051922277,
198307_0000444f8f5d5affa846,13,874.4202111895032,1.9830701E7,147.83302668494275,874.4202111895032,161.7370284193125,57.98282890085865,1146.5167230017594,0.0,150.22491252560786,231.45735216265257,
