"","Flow_sangping_mon"
"1997-08-01",105.233362000926
"1997-09-01",77.6637590529023
"1997-10-01",79.8955840534566
"1997-11-01",47.0652507469834
"1997-12-01",27.9897111834222
"1998-01-01",21.5305470641709
"1998-02-01",16.2885715376589
"1998-03-01",17.9915102775777
"1998-04-01",37.9241456606795
"1998-05-01",88.2902468286508
"1998-06-01",140.061084908736
"1998-07-01",178.170903405596
"1998-08-01",95.6496428808987
"1998-09-01",67.4123679159024
"1998-10-01",90.0607029635443
"1998-11-01",44.3026640025998
"1998-12-01",28.2335239986088
"1999-01-01",21.3805084086715
"1999-02-01",15.9359806972352
"1999-03-01",17.1456673571995
"1999-04-01",32.4121005542685
"1999-05-01",81.4597370370384
"1999-06-01",123.181736165048
"1999-07-01",105.514684479988
"1999-08-01",67.8418535672696
"1999-09-01",72.3598925809968
"1999-10-01",53.4193878073851
"1999-11-01",31.2005384111104
"1999-12-01",22.1063204046501
"2000-01-01",17.8395961388845
"2000-02-01",13.681649898356
"2000-03-01",14.9944881339762
"2000-04-01",37.4946600093123
"2000-05-01",79.8693272887442
"2000-06-01",118.886879651376
"2000-07-01",85.1094273320625
"2000-08-01",91.6567391614197
"2000-09-01",112.697785112024
"2000-10-01",77.6450042209649
"2000-11-01",46.3957032468171
"2000-12-01",28.6892664146884
"2001-01-01",20.7822292698674
"2001-02-01",16.4142289116397
"2001-03-01",17.2394415168867
"2001-04-01",30.4072090201571
"2001-05-01",61.1501295319942
"2001-06-01",115.6422937262
"2001-07-01",85.2782208194993
"2001-08-01",84.7455835924763
"2001-09-01",45.0622346960658
"2001-10-01",47.1477720075081
"2001-11-01",33.68555364282
"2001-12-01",21.924398534857
"2002-01-01",18.2278211599893
"2002-02-01",14.4768547725031
"2002-03-01",15.0038655499449
"2002-04-01",26.7593942083267
"2002-05-01",84.1735612183846
"2002-06-01",128.283050452029
"2002-07-01",131.190049402331
"2002-08-01",106.714993723983
"2002-09-01",97.2813132594553
"2002-10-01",48.798197218002
"2002-11-01",30.5966328227251
"2002-12-01",22.9596652578032
"2003-01-01",18.2090663280519
"2003-02-01",14.8013133650206
"2003-03-01",19.06991311398
"2003-04-01",35.8442347988184
"2003-05-01",83.200185440832
"2003-06-01",154.371021676996
"2003-07-01",104.145581748555
"2003-08-01",78.6015006497739
"2003-09-01",127.870444149405
"2003-10-01",99.5694027558219
"2003-11-01",45.1897675532403
"2003-12-01",29.9889762679524
"2004-01-01",22.1382036189437
"2004-02-01",17.5226394791419
"2004-03-01",21.5624302784646
"2004-04-01",38.5524325305834
"2004-05-01",117.067660953445
"2004-06-01",155.721369576491
"2004-07-01",128.63939225884
"2004-08-01",120.574814525745
"2004-09-01",85.1281821639999
"2004-10-01",64.7454308143997
"2004-11-01",33.4098576133398
"2004-12-01",24.5575769388723
"2005-01-01",19.1111737442423
"2005-02-01",15.4802382811557
"2005-03-01",18.8542325466995
"2005-04-01",32.809702991342
"2005-05-01",82.8644739491519
"2005-06-01",117.330228600569
"2005-07-01",111.70377901934
"2005-08-01",52.7310854752814
"2005-09-01",67.8699858151758
"2005-10-01",66.5646495123306
"2005-11-01",31.714420806196
"2005-12-01",23.3703960772329
"2006-01-01",20.09205145457
"2006-02-01",15.8759652350354
"2006-03-01",17.6633007186726
"2006-04-01",26.0242047963794
"2006-05-01",71.613450269887
"2006-06-01",99.8319704029459
"2006-07-01",118.136686373879
"2006-08-01",91.5048250227265
"2006-09-01",104.726981538615
"2006-10-01",67.5061420755896
"2006-11-01",34.8183454918409
"2006-12-01",24.041819060593
