Station,Name,Date,Year,Month,Q
4,Sangping,19811201,1981,12,29.9964782
4,Sangping,19820101,1982,1,23.47542314
4,Sangping,19820201,1982,2,18.71919776
4,Sangping,19820301,1982,3,20.07892307
4,Sangping,19820401,1982,4,28.23164852
4,Sangping,19820501,1982,5,70.7619809
4,Sangping,19820601,1982,6,155.2524988
4,Sangping,19820701,1982,7,179.3899675
4,Sangping,19820801,1982,8,100.1132929
4,Sangping,19820901,1982,9,71.643458
4,Sangping,19821001,1982,10,46.18752461
4,Sangping,19821101,1982,11,29.9514666
4,Sangping,19821201,1982,12,22.89027238
4,Sangping,19830101,1983,1,19.0605357
4,Sangping,19830201,1983,2,15.64340532
4,Sangping,19830301,1983,3,16.96374549
4,Sangping,19830401,1983,4,23.22785935
4,Sangping,19830501,1983,5,76.18962926
4,Sangping,19830601,1983,6,122.750375
4,Sangping,19830701,1983,7,102.8327435
4,Sangping,19830801,1983,8,91.93806164
4,Sangping,19830901,1983,9,111.2536631
4,Sangping,19831001,1983,10,70.45627714
4,Sangping,19831101,1983,11,38.80937373
4,Sangping,19831201,1983,12,26.27927051
4,Sangping,19840101,1984,1,20.71283639
4,Sangping,19840201,1984,2,16.31857927
4,Sangping,19840301,1984,3,18.80546998
4,Sangping,19840401,1984,4,34.46763013
4,Sangping,19840501,1984,5,94.42120139
4,Sangping,19840601,1984,6,122.3752784
4,Sangping,19840701,1984,7,127.8704441
4,Sangping,19840801,1984,8,90.32327061
4,Sangping,19840901,1984,9,81.62102859
4,Sangping,19841001,1984,10,59.85792161
4,Sangping,19841101,1984,11,33.20167898
4,Sangping,19841201,1984,12,24.73199688
4,Sangping,19850101,1985,1,19.81072898
4,Sangping,19850201,1985,2,15.69404337
4,Sangping,19850301,1985,3,16.8287107
4,Sangping,19850401,1985,4,24.17872933
4,Sangping,19850501,1985,5,65.60815308
4,Sangping,19850601,1985,6,120.406021
4,Sangping,19850701,1985,7,103.7704851
4,Sangping,19850801,1985,8,54.58406287
4,Sangping,19850901,1985,9,105.0458137
4,Sangping,19851001,1985,10,55.574318
4,Sangping,19851101,1985,11,30.83106822
4,Sangping,19851201,1985,12,22.73085631
4,Sangping,19860101,1986,1,17.65767427
4,Sangping,19860201,1986,2,14.20303423
4,Sangping,19860301,1986,3,15.90034652
4,Sangping,19860401,1986,4,20.55342032
4,Sangping,19860501,1986,5,52.59605069
4,Sangping,19860601,1986,6,137.7298593
4,Sangping,19860701,1986,7,132.5966618
4,Sangping,19860801,1986,8,97.01874561
4,Sangping,19860901,1986,9,105.3834007
4,Sangping,19861001,1986,10,59.84291775
4,Sangping,19861101,1986,11,31.3130674
4,Sangping,19861201,1986,12,22.37076353
4,Sangping,19870101,1987,1,18.82422482
4,Sangping,19870201,1987,2,14.87633269
4,Sangping,19870301,1987,3,16.66929463
4,Sangping,19870401,1987,4,23.27287095
4,Sangping,19870501,1987,5,68.94838865
4,Sangping,19870601,1987,6,138.598208
4,Sangping,19870701,1987,7,130.3835916
4,Sangping,19870801,1987,8,101.6699439
4,Sangping,19870901,1987,9,123.5193231
4,Sangping,19871001,1987,10,85.63456263
4,Sangping,19871101,1987,11,39.05693751
4,Sangping,19871201,1987,12,26.75939421
4,Sangping,19880101,1988,1,20.6565719
4,Sangping,19880201,1988,2,16.5042521
4,Sangping,19880301,1988,3,17.2750757
4,Sangping,19880401,1988,4,32.52087858
4,Sangping,19880501,1988,5,102.5345417
4,Sangping,19880601,1988,6,168.2495973
4,Sangping,19880701,1988,7,129.2395469
4,Sangping,19880801,1988,8,83.7965891
4,Sangping,19880901,1988,9,103.6204465
4,Sangping,19881001,1988,10,83.55465176
4,Sangping,19881101,1988,11,39.45453995
4,Sangping,19881201,1988,12,27.79090996
4,Sangping,19890101,1989,1,21.70309152
4,Sangping,19890201,1989,2,17.16817316
4,Sangping,19890301,1989,3,18.76420935
4,Sangping,19890401,1989,4,30.19340394
4,Sangping,19890501,1989,5,63.8208176
4,Sangping,19890601,1989,6,121.1187047
4,Sangping,19890701,1989,7,105.5897038
4,Sangping,19890801,1989,8,96.58738448
4,Sangping,19890901,1989,9,111.4412114
4,Sangping,19891001,1989,10,59.49970432
4,Sangping,19891101,1989,11,38.26360812
4,Sangping,19891201,1989,12,25.89292097
4,Sangping,19900101,1990,1,19.94013732
4,Sangping,19900201,1990,2,15.68466595
4,Sangping,19900301,1990,3,17.17004864
4,Sangping,19900401,1990,4,22.54705896
4,Sangping,19900501,1990,5,68.29196953
4,Sangping,19900601,1990,6,109.246896
4,Sangping,19900701,1990,7,97.67516473
4,Sangping,19900801,1990,8,94.73065612
4,Sangping,19900901,1990,9,75.06809031
4,Sangping,19901001,1990,10,78.50772649
4,Sangping,19901101,1990,11,39.6946018
4,Sangping,19901201,1990,12,25.51594885
4,Sangping,19910101,1991,1,19.38311881
4,Sangping,19910201,1991,2,15.10889261
4,Sangping,19910301,1991,3,16.86809584
4,Sangping,19910401,1991,4,32.46086312
4,Sangping,19910501,1991,5,89.70436116
4,Sangping,19910601,1991,6,197.3383416
4,Sangping,19910701,1991,7,193.7374139
4,Sangping,19910801,1991,8,99.58815759
4,Sangping,19910901,1991,9,81.0396288
4,Sangping,19911001,1991,10,69.52228651
4,Sangping,19911101,1991,11,34.91587062
4,Sangping,19911201,1991,12,21.99191593
4,Sangping,19920101,1992,1,17.41198597
4,Sangping,19920201,1992,2,15.05075263
4,Sangping,19920301,1992,3,16.18917093
4,Sangping,19920401,1992,4,27.02571282
4,Sangping,19920501,1992,5,87.56631032
4,Sangping,19920601,1992,6,105.4396652
4,Sangping,19920701,1992,7,142.7992904
4,Sangping,19920801,1992,8,145.5750055
4,Sangping,19920901,1992,9,99.75695108
4,Sangping,19921001,1992,10,80.64577733
4,Sangping,19921101,1992,11,49.19392417
4,Sangping,19921201,1992,12,28.80179541
4,Sangping,19930101,1993,1,22.19446811
