"Flow_shaba_mon","Year","Month"
52.2261707226768,"1995","08"
48.3753931578711,"1995","09"
54.0913911056295,"1995","10"
32.7075419410681,"1995","11"
21.5246432192746,"1995","12"
15.1082851019172,"1996","01"
12.5631618051785,"1996","02"
14.2129793180999,"1996","03"
21.8411290003821,"1996","04"
63.7905370969838,"1996","05"
109.02513980356,"1996","06"
86.5462257690073,"1996","07"
61.1792285608499,"1996","08"
46.931351571069,"1996","09"
54.8374792588106,"1996","10"
31.1551972352558,"1996","11"
18.6895082371865,"1996","12"
13.9145440568275,"1997","01"
10.84956578884,"1997","02"
15.0709806942582,"1997","03"
25.5234350467275,"1997","04"
93.6340632242277,"1997","05"
115.88433734087,"1997","06"
77.9662120074246,"1997","07"
45.5113773440469,"1997","08"
29.927761886474,"1997","09"
33.7231845237856,"1997","10"
